,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2020-09-23 14:01:00,-0.5,1.5,1.0,1.0,-1.0,1.5,1.5,-0.5,-0.5,0.5,0.0,1.0
2020-09-23 14:02:00,0.0,1.3333333333333333,1.3333333333333333,1.0,-1.3333333333333333,1.3333333333333333,2.0,-1.0,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
2020-09-23 14:03:00,0.5,1.5,1.25,1.25,-1.5,1.0,2.5,-1.25,-0.25,0.25,0.5,0.25
2020-09-23 14:04:00,1.0,1.8,1.4,1.2,-1.4,1.0,2.6,-1.2,0.0,0.2,0.4,0.0
2020-09-23 14:05:00,1.3333333333333333,2.0,1.3333333333333333,1.1666666666666667,-1.1666666666666667,1.1666666666666667,2.5,-1.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,-0.16666666666666666
2020-09-23 14:06:00,1.5714285714285714,2.142857142857143,1.4285714285714286,1.0,-1.1428571428571428,1.2857142857142858,2.2857142857142856,-1.5714285714285714,0.14285714285714285,0.2857142857142857,0.14285714285714285,-0.14285714285714285
2020-09-23 14:07:00,1.875,2.25,1.5,0.75,-1.125,1.25,2.0,-1.75,0.375,0.25,0.0,-0.125
2020-09-23 14:08:00,2.111111111111111,2.3333333333333335,1.6666666666666667,0.6666666666666666,-1.2222222222222223,1.3333333333333333,1.7777777777777777,-1.7777777777777777,0.4444444444444444,0.2222222222222222,0.0,-0.1111111111111111
2020-09-23 14:09:00,2.3,2.3,1.8,0.7,-1.3,1.5,1.5,-1.8,0.5,0.3,0.0,-0.2
2020-09-23 14:10:00,2.3636363636363638,2.3636363636363638,1.8181818181818181,0.7272727272727273,-1.3636363636363635,1.6363636363636365,1.2727272727272727,-1.8181818181818181,0.5454545454545454,0.36363636363636365,0.09090909090909091,-0.36363636363636365
2020-09-23 14:11:00,2.3333333333333335,2.5,1.9166666666666667,0.6666666666666666,-1.5,1.6666666666666667,1.0833333333333333,-1.9166666666666667,0.6666666666666666,0.4166666666666667,0.16666666666666666,-0.5
2020-09-23 14:12:00,2.3846153846153846,2.5384615384615383,2.076923076923077,0.6923076923076923,-1.5384615384615385,1.7692307692307692,0.9230769230769231,-2.076923076923077,0.8461538461538461,0.46153846153846156,0.23076923076923078,-0.6923076923076923
2020-09-23 14:13:00,2.5,2.642857142857143,2.2142857142857144,0.7142857142857143,-1.5714285714285714,1.7857142857142858,0.8571428571428571,-2.2857142857142856,1.0,0.5,0.21428571428571427,-0.7857142857142857
2020-09-23 14:14:00,2.6666666666666665,2.6666666666666665,2.2666666666666666,0.8,-1.6666666666666667,1.7333333333333334,0.8666666666666667,-2.4,1.1333333333333333,0.4666666666666667,0.26666666666666666,-0.8666666666666667
2020-09-23 14:15:00,2.75,2.75,2.3125,0.875,-1.6875,1.625,0.875,-2.5625,1.1875,0.4375,0.3125,-0.9375
2020-09-23 14:16:00,2.823529411764706,2.823529411764706,2.411764705882353,1.0,-1.7058823529411764,1.588235294117647,0.8823529411764706,-2.6470588235294117,1.2941176470588236,0.4117647058823529,0.29411764705882354,-0.9411764705882353
2020-09-23 14:17:00,2.9444444444444446,2.8333333333333335,2.5555555555555554,1.1666666666666667,-1.6666666666666667,1.5,0.8888888888888888,-2.7777777777777777,1.3888888888888888,0.3333333333333333,0.3333333333333333,-0.8888888888888888
2020-09-23 14:18:00,3.0526315789473686,2.789473684210526,2.6315789473684212,1.368421052631579,-1.6842105263157894,1.368421052631579,0.8421052631578947,-2.9473684210526314,1.5263157894736843,0.3157894736842105,0.3157894736842105,-0.8421052631578947
2020-09-23 14:19:00,3.1,2.75,2.75,1.5,-1.75,1.2,0.8,-3.1,1.65,0.35,0.25,-0.85
2020-09-23 14:20:00,3.1904761904761907,2.7142857142857144,2.8095238095238093,1.6666666666666667,-1.8571428571428572,1.0,0.8095238095238095,-3.238095238095238,1.8095238095238095,0.38095238095238093,0.19047619047619047,-0.9047619047619048
2020-09-23 14:21:00,3.272727272727273,2.727272727272727,2.8636363636363638,1.8636363636363635,-2.0,0.7727272727272727,0.8181818181818182,-3.3636363636363638,1.9090909090909092,0.4090909090909091,0.18181818181818182,-1.0
2020-09-23 14:22:00,3.3043478260869565,2.6956521739130435,2.9130434782608696,2.0434782608695654,-2.130434782608696,0.5217391304347826,0.8260869565217391,-3.4782608695652173,2.0434782608695654,0.391304347826087,0.17391304347826086,-1.0434782608695652
2020-09-23 14:23:00,3.3333333333333335,2.7083333333333335,2.9166666666666665,2.1666666666666665,-2.25,0.2916666666666667,0.7916666666666666,-3.5416666666666665,2.1666666666666665,0.375,0.125,-1.125
2020-09-23 14:24:00,3.36,2.76,2.96,2.28,-2.4,0.12,0.8,-3.64,2.28,0.32,0.12,-1.16
2020-09-23 14:25:00,3.3461538461538463,2.8076923076923075,3.0,2.3461538461538463,-2.5384615384615383,0.0,0.8461538461538461,-3.769230769230769,2.423076923076923,0.23076923076923078,0.15384615384615385,-1.1538461538461537
2020-09-23 14:26:00,3.3703703703703702,2.814814814814815,3.0,2.3703703703703702,-2.7037037037037037,-0.07407407407407407,0.9259259259259259,-3.925925925925926,2.5925925925925926,0.1111111111111111,0.2222222222222222,-1.1851851851851851
2020-09-23 14:27:00,3.4285714285714284,2.8214285714285716,2.9642857142857144,2.4285714285714284,-2.892857142857143,-0.14285714285714285,1.0357142857142858,-4.035714285714286,2.7857142857142856,0.0,0.32142857142857145,-1.25
2020-09-23 14:28:00,3.5172413793103448,2.8620689655172415,2.9655172413793105,2.4482758620689653,-3.0344827586206895,-0.2413793103448276,1.1724137931034482,-4.172413793103448,3.0,-0.10344827586206896,0.3793103448275862,-1.3448275862068966
2020-09-23 14:29:00,3.6,2.9,3.0,2.5,-3.1666666666666665,-0.3333333333333333,1.3333333333333333,-4.333333333333333,3.2,-0.23333333333333334,0.4666666666666667,-1.4
2020-09-23 14:30:00,3.7096774193548385,2.903225806451613,3.032258064516129,2.5483870967741935,-3.2903225806451615,-0.41935483870967744,1.4838709677419355,-4.516129032258065,3.3548387096774195,-0.3225806451612903,0.5483870967741935,-1.4838709677419355
2020-09-23 14:31:00,3.8125,2.875,3.0625,2.625,-3.375,-0.46875,1.625,-4.65625,3.53125,-0.375,0.65625,-1.5625
2020-09-23 14:32:00,3.909090909090909,2.878787878787879,3.0606060606060606,2.696969696969697,-3.4242424242424243,-0.5151515151515151,1.7878787878787878,-4.757575757575758,3.6666666666666665,-0.42424242424242425,0.7575757575757576,-1.6666666666666667
2020-09-23 14:33:00,3.9705882352941178,2.8529411764705883,3.0294117647058822,2.764705882352941,-3.4705882352941178,-0.5588235294117647,1.9705882352941178,-4.823529411764706,3.7941176470588234,-0.47058823529411764,0.8529411764705882,-1.7352941176470589
2020-09-23 14:34:00,4.0285714285714285,2.857142857142857,2.9714285714285715,2.8285714285714287,-3.5428571428571427,-0.5714285714285714,2.1714285714285713,-4.885714285714286,3.914285714285714,-0.4857142857142857,0.9142857142857143,-1.8285714285714285
2020-09-23 14:35:00,4.111111111111111,2.8333333333333335,2.9166666666666665,2.888888888888889,-3.611111111111111,-0.5833333333333334,2.388888888888889,-4.916666666666667,4.0,-0.5,0.9444444444444444,-1.9444444444444444
2020-09-23 14:36:00,4.162162162162162,2.810810810810811,2.8378378378378377,2.918918918918919,-3.6486486486486487,-0.6216216216216216,2.5945945945945947,-4.918918918918919,4.108108108108108,-0.4864864864864865,0.972972972972973,-2.027027027027027
2020-09-23 14:37:00,4.2368421052631575,2.8157894736842106,2.763157894736842,2.973684210526316,-3.6578947368421053,-0.6578947368421053,2.8157894736842106,-4.894736842105263,4.2105263157894735,-0.4473684210526316,0.9736842105263158,-2.1052631578947367
2020-09-23 14:38:00,4.333333333333333,2.8461538461538463,2.6923076923076925,3.0256410256410255,-3.6923076923076925,-0.717948717948718,3.0,-4.871794871794871,4.282051282051282,-0.4358974358974359,1.0,-2.1538461538461537
2020-09-23 14:39:00,4.45,2.85,2.65,3.075,-3.725,-0.8,3.15,-4.825,4.325,-0.425,1.025,-2.175
2020-09-23 14:40:00,4.560975609756097,2.8536585365853657,2.5853658536585367,3.1463414634146343,-3.7804878048780486,-0.8536585365853658,3.268292682926829,-4.804878048780488,4.341463414634147,-0.3902439024390244,1.024390243902439,-2.1951219512195124
2020-09-23 14:41:00,4.666666666666667,2.8333333333333335,2.5,3.2142857142857144,-3.8095238095238093,-0.9047619047619048,3.357142857142857,-4.809523809523809,4.380952380952381,-0.35714285714285715,1.0238095238095237,-2.238095238095238
